session_name,session_id,session_time,metric,source_file,Time,HoloCapturerDecoder_color,HoloCapturerDecoder_geo,HoloCapturerPreparer,MediaReaderDual
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:13:50,16.3154131262838,17.2139667043521,16.805708294102,16.3898943767719
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:13:55,16.3531017225366,13.194079435395,15.3922832625007,16.5028163512234
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:00,13.1751692328529,15.8349013596984,14.4081824167311,15.0400949524859
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:05,13.3232307058031,16.4192019282711,12.1942665900626,13.4129718102254
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:10,13.9687470238462,16.7582681584334,16.6116048964953,16.5487406651718
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:15,15.3494609294079,13.3249164277898,14.7847357262987,14.9933219743926
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:20,14.1426795442429,14.9929794164771,17.1635270734289,15.3967708104244
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:25,15.1094262422026,12.6516162391085,13.4648244924958,17.0639819855055
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:30,13.4226172691814,12.8678568798831,12.8347077879296,13.7319328958889
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:35,16.9192233976936,16.8609059563134,17.8552995904525,15.2351019501078
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:40,15.3740038885319,15.5407974099707,14.282793882191,15.6430429668439
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:45,14.2845004550106,16.2481816192199,16.554295321723,15.2792257673679
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:50,15.3724402593499,14.8018401265662,15.045360061917,15.484929292566
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:14:55,15.9742916527113,17.4138519331018,16.1965042348705,15.9587756775492
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:00,16.3855729895845,16.7070346296043,16.9350066861826,16.5206275583892
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:05,15.9078735274342,16.1284079325962,17.4999195003703,15.7921656250746
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:10,16.9699314632954,16.6848515190527,17.4424782195532,13.4749351383997
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:15,16.3220921004771,15.6392089238499,15.9993992225592,16.1054020881791
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:20,14.9061545773198,14.9514867661979,14.9962606098544,14.3124779379116
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:25,14.4967461811584,15.4117040358232,15.4400660062822,15.8801195339907
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:30,13.8446142794044,14.735167776585,13.7126400893951,16.6789894965535
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:35,15.4516329707132,13.4924010797119,17.2019098248364,15.3943421687372
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:40,16.1600704931657,14.3656144652161,17.064529420492,13.8530009582813
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:45,15.992019982029,13.2474655513151,18.3073526435001,13.488844942018
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:50,16.2215278584348,13.3155513655954,17.5642759800524,13.8689535965377
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:15:55,14.786489765555,16.2800747446961,15.0490661119611,16.0950349326165
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:00,14.1433837714035,16.812599203607,12.6846825176652,15.9960129937613
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:05,13.2544578546285,16.7107346761457,13.4710036646119,15.905797911867
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:10,15.6904870979331,13.9857387422046,12.6208844084749,16.0771743343015
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:15,14.7338122931325,17.7757482701234,13.6639679570842,16.5923305855946
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:20,16.8484849445903,15.927713279924,16.3779498797015,17.0801494308113
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:25,15.6841925101315,16.818009793325,16.7464980201812,16.2771615885622
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:30,14.4399227016,15.6122517731249,12.9748113499857,15.0850480868906
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:35,16.795193531756,17.3251785532902,13.5800920119134,15.9423040046918
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:40,15.0788536491215,12.8787810491313,12.4682707446091,14.6576307259118
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:45,14.1433160126428,14.7613699082684,12.7768325550665,13.7449147251746
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:50,13.5681909656976,16.6165206139668,12.862140717536,13.1165819780787
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:16:55,15.861715187736,14.450204402958,16.0794719387913,16.0041707839013
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:00,13.3744593003315,16.8495578799906,13.9096795820857,14.227769323848
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:05,13.2780004629596,15.2411470963591,13.8723901788644,14.4379542631597
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:10,15.9744066044587,16.7748794404216,17.4052371861401,16.5404058032889
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:15,13.8238031869593,16.4950902363911,14.6884434264809,14.9390717428504
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:20,13.893564183503,15.1735793463687,16.8730455182164,16.4989143714344
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:25,7.49657715106785,7.62241854290514,6.98822763173159,7.60529688013135
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:30,10.4268250630488,11.3861425595544,8.76529798230222,9.64574796367926
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:35,8.74801814863845,9.13063653415646,9.56183649221351,8.9241328234216
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:17:40,9.90941380154842,8.26466892441216,8.16757480489586,8.78231409780483
